[i] Train : 117266
[i] Valid : 4952
[i] pred_bboxes_op : Tensor("YOLOv3/concat:0", shape=(?, ?, 85), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_3:0", shape=(?, ?, 85), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
[i] iter : 4600, loss : 72.4269, giou_loss : 43.2763, conf_loss : 7.8759, class_loss : 16.9848, l2_reg_loss : 4.2899, train_time : 12sec
[i] iter : 4650, loss : 77.6845, giou_loss : 47.3122, conf_loss : 8.2198, class_loss : 17.8628, l2_reg_loss : 4.2896, train_time : 13sec
[i] iter : 4700, loss : 83.1853, giou_loss : 50.9156, conf_loss : 8.8511, class_loss : 19.1292, l2_reg_loss : 4.2894, train_time : 13sec
[i] iter : 4750, loss : 75.7338, giou_loss : 46.4737, conf_loss : 7.8681, class_loss : 17.1028, l2_reg_loss : 4.2892, train_time : 13sec
[i] iter : 4800, loss : 85.1052, giou_loss : 52.2776, conf_loss : 9.1407, class_loss : 19.3978, l2_reg_loss : 4.2891, train_time : 14sec
[i] iter : 4850, loss : 79.6702, giou_loss : 48.8762, conf_loss : 8.3092, class_loss : 18.1959, l2_reg_loss : 4.2889, train_time : 13sec
[i] iter : 4900, loss : 83.7985, giou_loss : 51.9289, conf_loss : 8.7755, class_loss : 18.8054, l2_reg_loss : 4.2887, train_time : 14sec
[i] iter : 4950, loss : 79.3089, giou_loss : 48.9259, conf_loss : 8.4040, class_loss : 17.6905, l2_reg_loss : 4.2885, train_time : 13sec
[i] iter : 5000, loss : 66.0376, giou_loss : 39.0738, conf_loss : 7.1185, class_loss : 15.5571, l2_reg_loss : 4.2882, train_time : 13sec
[i] iter : 5050, loss : 73.3056, giou_loss : 44.7165, conf_loss : 8.0025, class_loss : 16.2986, l2_reg_loss : 4.2880, train_time : 228sec
[i] iter : 5100, loss : 75.8283, giou_loss : 47.1286, conf_loss : 8.1411, class_loss : 16.2709, l2_reg_loss : 4.2877, train_time : 17sec
[i] iter : 5150, loss : 77.0761, giou_loss : 47.5664, conf_loss : 8.2729, class_loss : 16.9495, l2_reg_loss : 4.2874, train_time : 13sec
[i] iter : 5200, loss : 69.1353, giou_loss : 42.0316, conf_loss : 7.3129, class_loss : 15.5036, l2_reg_loss : 4.2871, train_time : 13sec
[i] iter : 5250, loss : 73.1190, giou_loss : 44.9750, conf_loss : 7.8405, class_loss : 16.0166, l2_reg_loss : 4.2868, train_time : 13sec
[i] iter : 5300, loss : 79.9809, giou_loss : 50.1290, conf_loss : 8.5032, class_loss : 17.0621, l2_reg_loss : 4.2866, train_time : 14sec
[i] iter : 5350, loss : 73.7944, giou_loss : 45.4506, conf_loss : 7.8722, class_loss : 16.1854, l2_reg_loss : 4.2863, train_time : 14sec
[i] iter : 5400, loss : 74.5081, giou_loss : 46.7016, conf_loss : 7.8236, class_loss : 15.6969, l2_reg_loss : 4.2859, train_time : 13sec
[i] iter : 5450, loss : 79.0390, giou_loss : 49.6552, conf_loss : 8.4209, class_loss : 16.6773, l2_reg_loss : 4.2856, train_time : 13sec
[i] iter : 5500, loss : 74.0267, giou_loss : 46.2219, conf_loss : 7.8775, class_loss : 15.6420, l2_reg_loss : 4.2853, train_time : 14sec
[i] iter : 5550, loss : 84.4398, giou_loss : 54.4402, conf_loss : 8.6771, class_loss : 17.0376, l2_reg_loss : 4.2849, train_time : 14sec
[i] iter : 5600, loss : 73.0285, giou_loss : 45.7463, conf_loss : 7.7491, class_loss : 15.2485, l2_reg_loss : 4.2846, train_time : 13sec
[i] iter : 5650, loss : 65.3039, giou_loss : 40.2361, conf_loss : 6.9042, class_loss : 13.8793, l2_reg_loss : 4.2843, train_time : 14sec
[i] iter : 5700, loss : 69.6683, giou_loss : 43.5903, conf_loss : 7.1592, class_loss : 14.6349, l2_reg_loss : 4.2839, train_time : 14sec
[i] iter : 5750, loss : 69.6342, giou_loss : 43.2253, conf_loss : 7.3976, class_loss : 14.7277, l2_reg_loss : 4.2835, train_time : 13sec
[i] iter : 5800, loss : 72.4055, giou_loss : 45.6395, conf_loss : 7.6025, class_loss : 14.8803, l2_reg_loss : 4.2831, train_time : 14sec
[i] iter : 5850, loss : 69.9952, giou_loss : 44.1102, conf_loss : 7.3460, class_loss : 14.2563, l2_reg_loss : 4.2827, train_time : 14sec
[i] iter : 5900, loss : 64.3033, giou_loss : 39.7240, conf_loss : 6.7239, class_loss : 13.5730, l2_reg_loss : 4.2823, train_time : 14sec
[i] iter : 5950, loss : 70.6554, giou_loss : 44.5194, conf_loss : 7.3983, class_loss : 14.4558, l2_reg_loss : 4.2819, train_time : 13sec
[i] iter : 6000, loss : 72.8397, giou_loss : 46.4229, conf_loss : 7.5987, class_loss : 14.5366, l2_reg_loss : 4.2815, train_time : 13sec
[i] iter : 6050, loss : 80.3767, giou_loss : 52.7681, conf_loss : 8.1758, class_loss : 15.1517, l2_reg_loss : 4.2810, train_time : 12sec
[i] iter : 6100, loss : 70.3747, giou_loss : 44.8081, conf_loss : 7.3680, class_loss : 13.9180, l2_reg_loss : 4.2806, train_time : 13sec
[i] iter : 6150, loss : 70.6956, giou_loss : 44.6159, conf_loss : 7.3940, class_loss : 14.4054, l2_reg_loss : 4.2803, train_time : 14sec
[i] iter : 6200, loss : 62.6941, giou_loss : 38.9677, conf_loss : 6.6575, class_loss : 12.7890, l2_reg_loss : 4.2798, train_time : 13sec
[i] iter : 6250, loss : 77.7826, giou_loss : 50.4427, conf_loss : 8.1024, class_loss : 14.9582, l2_reg_loss : 4.2793, train_time : 13sec
[i] iter : 6300, loss : 70.5080, giou_loss : 44.7080, conf_loss : 7.4324, class_loss : 14.0888, l2_reg_loss : 4.2788, train_time : 13sec
[i] iter : 6350, loss : 67.0512, giou_loss : 43.4581, conf_loss : 6.7007, class_loss : 12.6141, l2_reg_loss : 4.2783, train_time : 12sec
[i] iter : 6400, loss : 73.8701, giou_loss : 47.6951, conf_loss : 7.7035, class_loss : 14.1937, l2_reg_loss : 4.2778, train_time : 14sec
[i] iter : 6450, loss : 69.1260, giou_loss : 44.8319, conf_loss : 6.9464, class_loss : 13.0705, l2_reg_loss : 4.2772, train_time : 13sec
[i] iter : 6500, loss : 72.5375, giou_loss : 47.0007, conf_loss : 7.5237, class_loss : 13.7365, l2_reg_loss : 4.2766, train_time : 13sec
